lon,lat,id
-73.8705374096,40.684060839699995,10321
-73.86897452699999,40.6846250902,10322
-73.86830878949999,40.6847015539,10323
-73.8667773299,40.6851309404,10324
-73.8971674505,40.6764746696,10325
-73.8974635303,40.677221650199996,10326
-73.89835842,40.6769941203,10327
-73.8992120797,40.6770425302,10328
-73.9019513697,40.6775400004,10329
-73.90299004970001,40.6778949796,10330
-73.9043006705,40.6778615496,10331
-73.9059013106,40.67784547,10332
-73.94206208,40.6512299704,10333
-73.94554462949999,40.650947490300005,10334
-73.9478340004,40.6509619998,10335
-73.9524139996,40.6487330002,10336
-73.9559619698,40.6486891904,10337
-73.95781959029999,40.6486071201,10338
-73.9596884103,40.7181870001,10339
-73.9404430002,40.814105,10406
-73.90854944029999,40.8239255499,10340
-74.0162,40.6927500003,10341
-74.01578000020001,40.6927199996,10342
-74.0173300004,40.6887299999,10343
-74.0145400001,40.6925299998,10344
-74.0146499995,40.6902299998,10345
-74.01443999989999,40.6901699999,10346
-74.0133999997,40.6895899998,10347
-74.0146699994,40.6893400002,10348
-74.0147000004,40.6885699998,10349
-74.0147700003,40.6927399998,10350
-74.0145499996,40.6885999996,10351
-74.0147499997,40.692310000300004,10352
-74.013139996,40.6903200191,10353
-74.0176699999,40.6904099998,10354
-74.0169600001,40.6891999996,10355
-74.0133099996,40.6903199996,10356
-74.0209800004,40.686550000100006,10357
-74.0225500005,40.6884600004,10358
-74.0218499996,40.6892299996,10359
-74.02251,40.687260000100004,10360
-74.02401999979999,40.6863000004,10361
-73.8875829994,40.658384999999996,10362
-73.9273109998,40.825695999699995,10363
-73.9277309995,40.8258150004,10364
-73.9281340004,40.8259470001,10365
-73.9285369996,40.8261030003,10366
-73.929249,40.8263779996,10367
-73.92676200060001,40.826566999899995,10368
-73.9264609997,40.8270699998,10369
-73.9269030006,40.827868,10370
-73.92745700020001,40.828149000100005,10371
-73.9283560001,40.827901999699996,10372
-73.92856500020001,40.8277990001,10373
-73.94556000029999,40.577759999899996,10374
-73.9435500001,40.577979999600004,10375
-73.94358999939999,40.5769599998,10376
-73.9445900006,40.5768699999,10377
-73.9418199995,40.5781699999,10378
-73.9409099997,40.5782900004,10379
-73.9390699999,40.5784300002,10380
-73.93991999949999,40.5783799996,10381
-73.94273000000001,40.5781099996,10382
-73.9446,40.5778700002,10383
-73.94552,40.5762200004,10384
-73.9469799995,40.5760999997,10385
-73.94358999939999,40.5769599998,10386
-74.0252600002,40.6851699998,10387
-73.94358999939999,40.5769599998,10388
-73.9445900006,40.5768699999,10389
-73.9238159997,40.7025399998,10390
-73.9236280006,40.703041000300004,10391
-74.0047109131,40.7415832891,10392
-74.001803398,40.7410467844,10393
-74.0059179066,40.743631720100005,10394
-74.00421107529999,40.7421021446,10395
-73.93755299979999,40.8100140004,10396
-73.9474260006,40.795988,10397
-73.95279300029999,40.8075429999,10399
-73.94140400020001,40.811041999699995,10400
-73.9523960004,40.798959,10401
-73.93901200020001,40.8098880004,10404
-73.948989,40.8083379998,10405
-73.9396849997,40.8151320004,10407
-73.94002999989999,40.8145630004,10408
-73.9507169999,40.7974669996,10409
-73.9509940006,40.7997030003,10410
-73.950994,40.799434999999995,10411
-73.9461589995,40.8037859998,10412
-73.988721,40.691860000300004,10413
-73.98884100000001,40.6916769998,10414
-73.9887110002,40.6915690003,10415
-73.9832259996,40.6901370001,10416
-73.98232480029999,40.6900723003,10417
-73.9813279998,40.6902329997,10418
-73.98121399979999,40.6899670002,10419
-73.9809279998,40.6899890004,10420
-73.9814140004,40.6906220002,10421
-73.9896349995,40.6908829998,10422
-73.9896349995,40.6908829998,10423
-73.9896349995,40.6908829998,10424
-73.9896349995,40.6908829998,10425
-73.9896349995,40.6908829998,10426
-73.94997499979999,40.7988060001,10427
-73.9434619995,40.801832,10429
-73.9437959994,40.801111999999996,10430
-73.9449320005,40.7997210004,10432
-74.0087229996,40.6771929997,10434
-74.0087229996,40.6771929997,10435
-74.0087229996,40.6771929997,10436
-73.7740839999,40.73121,10437
-73.7767179998,40.7305439999,10438
